CBRO-2021 (Brazil),Aves Argentinas
Rhea americana,Rhea americana
Tinamus tao,Rhea pennata
Tinamus solitarius,Tinamus solitarius
Tinamus major,Crypturellus obsoletus
Tinamus guttatus,Crypturellus undulatus
Crypturellus cinereus,Crypturellus parvirostris
Crypturellus soui,Crypturellus tataupa
Crypturellus obsoletus,Rhynchotus rufescens
Crypturellus undulatus,Rhynchotus maculicollis
Crypturellus strigulosus,Nothoprocta ornata
Crypturellus duidae,Nothoprocta cinerascens
Crypturellus erythropus,Nothoprocta pentlandii
Crypturellus zabele,Nothura darwinii
Crypturellus noctivagus,Nothura maculosa
Crypturellus atrocapillus,Taoniscus nanus
Crypturellus variegatus,Eudromia elegans
Crypturellus brevirostris,Eudromia formosa
Crypturellus bartletti,Tinamotis pentlandii
Crypturellus parvirostris,Tinamotis ingoufi
Crypturellus tataupa,Chauna torquata
Rhynchotus rufescens,Dendrocygna bicolor
Nothura boraquira,Dendrocygna viduata
Nothura minor,Dendrocygna autumnalis
Nothura maculosa,Anser anser
Taoniscus nanus,Cygnus melancoryphus
Anhima cornuta,Coscoroba coscoroba
Chauna torquata,Oressochen jubatus
Dendrocygna bicolor,Oressochen melanopterus
Dendrocygna viduata,Chloephaga picta
Dendrocygna autumnalis,Chloephaga hybrida
Cygnus melancoryphus,Chloephaga poliocephala
Coscoroba coscoroba,Chloephaga rubidiceps
Neochen jubata,Cairina moschata
Chloephaga picta,Sarkidiornis sylvicola
Cairina moschata,Callonetta leucophrys
Sarkidiornis sylvicola,Amazonetta brasiliensis
Callonetta leucophrys,Merganetta armata
Amazonetta brasiliensis,Tachyeres patachonicus
Spatula versicolor,Tachyeres pteneres
Spatula platalea,Tachyeres brachypterus
Spatula discors,Tachyeres leucocephalus
Spatula cyanoptera,Lophonetta specularioides
Mareca sibilatrix,Speculanas specularis
Anas bahamensis,Spatula puna
Anas acuta,Spatula versicolor
Anas georgica,Spatula platalea
Anas flavirostris,Spatula clypeata
Netta erythrophthalma,Spatula discors
Netta peposaca,Spatula cyanoptera
Mergus octosetaceus,Mareca sibilatrix
Heteronetta atricapilla,Anas bahamensis
Nomonyx dominicus,Anas georgica
Oxyura vittata,Anas flavirostris
Penelope marail,Netta peposaca
Penelope superciliaris,Mergus octosetaceus
Penelope jacquacu,Heteronetta atricapilla
Penelope obscura,Nomonyx dominicus
Penelope pileata,Oxyura jamaicensis
Penelope ochrogaster,Oxyura vittata
Penelope jacucaca,Penelope superciliaris
Aburria cumanensis,Penelope dabbenei
Aburria cujubi,Penelope obscura
Aburria jacutinga,Penelope bridgesi
Ortalis canicollis,Pipile jacutinga
Ortalis guttata,Ortalis canicollis
Ortalis remota,Crax fasciolata
Ortalis araucuan,Callipepla californica
Ortalis squamata,Odontophorus capueira
Ortalis motmot,Lophura nycthemera
Ortalis ruficeps,Phoenicopterus chilensis
Ortalis superciliaris,Phoenicoparrus andinus
Nothocrax urumutum,Phoenicoparrus jamesi
Crax alector,Rollandia rolland
Crax globulosa,Tachybaptus dominicus
Crax fasciolata,Podilymbus podiceps
Crax blumenbachii,Podiceps major
Pauxi tomentosa,Podiceps occipitalis
Pauxi tuberosa,Podiceps gallardoi
Pauxi mitu,Columba livia
Colinus cristatus,Patagioenas speciosa
Odontophorus gujanensis,Patagioenas picazuro
Odontophorus capueira,Patagioenas maculosa
Odontophorus stellatus,Patagioenas fasciata
Phoenicopterus chilensis,Patagioenas araucana
Phoenicopterus ruber,Patagioenas cayennensis
Phoenicoparrus andinus,Patagioenas plumbea
Phoenicoparrus jamesi,Geotrygon montana
Rollandia rolland,Geotrygon violacea
Tachybaptus dominicus,Leptotila verreauxi
Podilymbus podiceps,Leptotila rufaxilla
Podicephorus major,Leptotila megalura
Podiceps occipitalis,Zentrygon frenata
Columba livia,Zenaida meloda
Patagioenas speciosa,Zenaida auriculata
Patagioenas picazuro,Claravis pretiosa
Patagioenas maculosa,Paraclaravis geoffroyi
Patagioenas fasciata,Metriopelia ceciliae
Patagioenas cayennensis,Metriopelia morenoi
Patagioenas plumbea,Metriopelia melanoptera
Patagioenas subvinacea,Metriopelia aymara
Geotrygon saphirina,Columbina minuta
Geotrygon montana,Columbina talpacoti
Geotrygon violacea,Columbina squammata
Leptotila verreauxi,Columbina picui
Leptotila rufaxilla,Guira guira
Zenaida auriculata,Crotophaga major
Claravis pretiosa,Crotophaga ani
Uropelia campestris,Crotophaga sulcirostris
Paraclaravis geoffroyi,Tapera naevia
Columbina passerina,Dromococcyx phasianellus
Columbina minuta,Dromococcyx pavoninus
Columbina talpacoti,Coccycua cinerea
Columbina squammata,Piaya cayana
Columbina picui,Coccyzus melacoryphus
Columbina cyanopis,Coccyzus americanus
Guira guira,Coccyzus euleri
Crotophaga major,Coccyzus erythropthalmus
Crotophaga ani,Nyctibius aethereus
Tapera naevia,Nyctibius griseus
Dromococcyx phasianellus,Chordeiles nacunda
Dromococcyx pavoninus,Chordeiles pusillus
Neomorphus geoffroyi,Chordeiles minor
Neomorphus squamiger,Lurocalis semitorquatus
